Lines of Data,Compress Time (s),Decompress Time (s),Original Size (B),Compressed Size (B),Compression Ratio
15,7.104873657226562e-05,2.4080276489257812e-05,6033,1923,3.137285491419657
357,0.0002338886260986328,7.891654968261719e-05,150509,44013,3.4196487401449573
699,0.00046896934509277344,0.0001232624053955078,294194,90962,3.2342516655306612
1041,0.0006589889526367188,0.00016570091247558594,438610,136441,3.2146495554855212
1383,0.0008380413055419922,0.00021600723266601562,582923,183629,3.174460461038289
1725,0.0010449886322021484,0.00021004676818847656,726994,228492,3.181704392276316
2067,0.0012578964233398438,0.00025010108947753906,869354,275120,3.1599084036056992
2409,0.0014612674713134766,0.0003230571746826172,1011791,323456,3.128063786110012
2751,0.001688241958618164,0.00038814544677734375,1154435,370835,3.113069154745372
3093,0.001882791519165039,0.0003609657287597656,1295083,419452,3.087559482372238
3435,0.0021469593048095703,0.0004601478576660156,1436599,467939,3.070056139795999
3777,0.0024182796478271484,0.0005230903625488281,1578774,516232,3.058264501232004
4119,0.0025560855865478516,0.0005300045013427734,1720550,564041,3.0503988185256037
4461,0.002772808074951172,0.0005750656127929688,1861872,612492,3.0398307243196645
4803,0.0030002593994140625,0.0006940364837646484,2003393,659466,3.03790187818629
5145,0.0032091140747070312,0.0006771087646484375,2145572,706966,3.0349012540914275
5487,0.003426074981689453,0.0007119178771972656,2287184,753810,3.034165107918441
5829,0.003612041473388672,0.0007328987121582031,2428914,802609,3.0262730669603757
6171,0.0038940906524658203,0.0008990764617919922,2568432,850180,3.021044955185961
6513,0.004055976867675781,0.0008440017700195312,2709088,897699,3.017813320500524
6855,0.004227876663208008,0.0007350444793701172,2850208,945481,3.0145587272509973
7197,0.004436969757080078,0.0009357929229736328,2990038,993760,3.0088129930767993
7539,0.004635810852050781,0.0009961128234863281,3128308,1040797,3.005685066348193
7881,0.004904031753540039,0.0010576248168945312,3268257,1091065,2.9954741468198502
8223,0.005074739456176758,0.0009419918060302734,3408527,1137705,2.9959673201752652
8565,0.005224943161010742,0.001027822494506836,3549450,1183331,2.999541125855741
8907,0.005418062210083008,0.001035928726196289,3690325,1231669,2.9961986540214944
9249,0.005711793899536133,0.000990152359008789,3830089,1277996,2.9969491297312354
9591,0.005922079086303711,0.0013861656188964844,3970547,1322974,3.0012282932242056
9933,0.0060939788818359375,0.0012009143829345703,4110784,1369732,3.001159350880318
10275,0.006288766860961914,0.0013570785522460938,4251367,1419437,2.9951079195483845
10617,0.006451845169067383,0.0014238357543945312,4392062,1465676,2.9966118023355777
10959,0.006560087203979492,0.0017311573028564453,4534257,1511781,2.999281641983859
11301,0.007166147232055664,0.0016782283782958984,4678518,1560097,2.9988635322034463
11643,0.007161140441894531,0.0015249252319335938,4822335,1610703,2.993931842183196
11985,0.0077550411224365234,0.0019021034240722656,4965326,1659408,2.992227348548398
12327,0.007940053939819336,0.0025339126586914062,5108393,1708490,2.9900046239661924
12669,0.00835418701171875,0.0024788379669189453,5251870,1756036,2.9907530369536843
13011,0.009189128875732422,0.0018742084503173828,5395880,1797339,3.002149288475908
13353,0.008834123611450195,0.00552821159362793,5539677,1846196,3.000589861531495
13695,0.008603096008300781,0.001850128173828125,5683581,1894280,3.000391177650611
14037,0.009041786193847656,0.00222015380859375,5825948,1936622,3.008304150216201
14379,0.008869171142578125,0.002034902572631836,5972142,1978771,3.0181066934981358
14721,0.008946895599365234,0.0020928382873535156,6118873,2017265,3.0332519525198722
15063,0.009479999542236328,0.0022711753845214844,6264879,2054452,3.0494160973339848
15405,0.009698152542114258,0.0022618770599365234,6412837,2093434,3.0633098535707357
15747,0.009715795516967773,0.002735137939453125,6556221,2129215,3.07917284069481
16089,0.009853363037109375,0.0022971630096435547,6700949,2166077,3.093587624077999
16431,0.010185956954956055,0.0024280548095703125,6846320,2209153,3.099070096095653
16773,0.010257959365844727,0.002096891403198242,6991531,2247435,3.110893529735009
17115,0.010792255401611328,0.002629995346069336,7138035,2279911,3.1308393178505654
17457,0.01061391830444336,0.0027451515197753906,7283783,2319065,3.140827445543786
17799,0.010834932327270508,0.0026230812072753906,7428211,2365943,3.1396407267630706
18141,0.011123180389404297,0.002722024917602539,7572497,2411082,3.140704878556598
18483,0.012064218521118164,0.00600886344909668,7716395,2457173,3.1403547898336828
18825,0.012452125549316406,0.0034570693969726562,7858419,2505803,3.1360881122737903
19167,0.01180267333984375,0.0026607513427734375,8001534,2556134,3.1303265008798444
19509,0.012238025665283203,0.005623817443847656,8145222,2603503,3.1285625559102486
19851,0.012171030044555664,0.002988100051879883,8288830,2653024,3.1242951439564814
20193,0.013103008270263672,0.0045278072357177734,8431756,2700717,3.1220435165920755
20535,0.012948036193847656,0.007068157196044922,8575575,2746618,3.1222306851553436
20877,0.01289987564086914,0.006351947784423828,8719998,2788770,3.126825804924752
21219,0.012980937957763672,0.009989738464355469,8863077,2837402,3.123659248848066
21561,0.014093637466430664,0.005293130874633789,9005892,2884635,3.122021330254954
21903,0.01502680778503418,0.004375934600830078,9147844,2933141,3.118787675055512
22245,0.013674020767211914,0.003983020782470703,9289818,2980433,3.1169356935720414
22587,0.01434016227722168,0.005501985549926758,9433918,3028745,3.1147944115466966
22929,0.015720844268798828,0.005831003189086914,9577912,3076093,3.113661388000948
23271,0.01531219482421875,0.0056760311126708984,9720848,3124751,3.1109192380448873
23613,0.015572071075439453,0.005802631378173828,9863904,3171800,3.109875780314017
23955,0.015782833099365234,0.00419306755065918,10006240,3220553,3.1069943578012844
24297,0.016023874282836914,0.011030912399291992,10147654,3267580,3.10555640565801
24639,0.016776084899902344,0.006855010986328125,10289903,3315783,3.1033101382086827
24981,0.018299102783203125,0.00801992416381836,10430612,3364412,3.100277849442934
25323,0.01809406280517578,0.0054700374603271484,10569007,3413754,3.0960072108300714
25665,0.017694950103759766,0.006117105484008789,10710792,3459013,3.0964879287819964
26007,0.01792001724243164,0.007848978042602539,10853857,3507312,3.094636861505335
26349,0.01790904998779297,0.00468897819519043,10997360,3552806,3.0954012124501027
26691,0.01784992218017578,0.004357099533081055,11140400,3599789,3.094736941526295
27033,0.018215179443359375,0.0056400299072265625,11283648,3649026,3.092235571903297
27375,0.019425153732299805,0.006569862365722656,11426623,3697667,3.0902249986275128
27717,0.018442869186401367,0.0046961307525634766,11568754,3744733,3.0893401478823725
28059,0.02045607566833496,0.008077859878540039,11709931,3793789,3.0866057653707153
28401,0.018936634063720703,0.005548000335693359,11851736,3841405,3.0852607314250906
28743,0.019226789474487305,0.006528615951538086,11994384,3887732,3.0851879707757632
29085,0.019461870193481445,0.0075190067291259766,12137590,3935583,3.0840640382886093
29427,0.01963496208190918,0.00556182861328125,12281068,3983016,3.083358942068021
29769,0.020274877548217773,0.005890846252441406,12424944,4031596,3.081892134033271
30111,0.02043318748474121,0.0058481693267822266,12569201,4073843,3.0853425131994534
30453,0.023602962493896484,0.006566762924194336,12713658,4116648,3.0883519795717294
30795,0.019718170166015625,0.005387067794799805,12857745,4153256,3.095822891726395
31137,0.02029585838317871,0.00541996955871582,13002540,4183631,3.1079557446629495
31479,0.020543813705444336,0.005715131759643555,13147993,4219022,3.1163603792537704
31821,0.02049398422241211,0.008948087692260742,13292168,4262918,3.118091410625304
32163,0.02087712287902832,0.008169412612915039,13435045,4311599,3.116023776793714
32505,0.022012948989868164,0.008249998092651367,13577295,4359381,3.1145006596119953
32847,0.02196979522705078,0.00844717025756836,13719792,4407032,3.1131591511021477
33189,0.021466970443725586,0.0056400299072265625,13861706,4454734,3.111679844408218
33531,0.022571086883544922,0.010872125625610352,14004083,4505401,3.1082878083438077
33873,0.021841049194335938,0.005784034729003906,14144541,4555804,3.1047299225339806
